Monthly,,
,Mkt-RF,RF
1954,49.35,0.86
1955,23.75,1.57
1956,5.9,2.46
1957,-13.16,3.14
1958,43.45,1.54
1959,9.76,2.95
1960,-1.46,2.66
1961,24.81,2.13
1962,-12.9,2.73
1963,17.84,3.12
1964,12.54,3.54
1965,10.52,3.93
1966,-13.51,4.76
1967,24.49,4.21
1968,8.79,5.21
1969,-17.54,6.58
1970,-6.49,6.52
1971,11.78,4.39
1972,13.05,3.84
1973,-26.18,6.93
1974,-35.75,8
1975,32.44,5.8
1976,21.91,5.08
1977,-8.26,5.12
1978,1.03,7.18
1979,13.09,10.38
1980,22.13,11.24
1981,-18.13,14.71
1982,10.66,10.54
1983,13.74,8.8
1984,-6.05,9.85
1985,24.91,7.72
1986,10.12,6.16
1987,-3.87,5.47
1988,11.55,6.35
1989,20.49,8.37
1990,-13.95,7.81
1991,29.18,5.6
1992,6.23,3.51
1993,8.21,2.9
1994,-4.1,3.9
1995,31.22,5.6
1996,15.96,5.21
1997,25.96,5.26
1998,19.46,4.86
1999,20.57,4.68
2000,-17.6,5.89
2001,-15.2,3.83
2002,-22.76,1.65
2003,30.75,1.02
2004,10.72,1.2
2005,3.09,2.98
2006,10.6,4.8
2007,1.04,4.66
2008,-38.34,1.6
2009,28.26,0.1
2010,17.37,0.12
2011,0.44,0.04
2012,16.28,0.06
2013,35.2,0.02
2014,11.7,0.02
2015,0.07,0.02
2016,13.3,0.2
2017,21.5,0.8
2018,-6.93,1.81
